Date,Open,High,Low,Close,Volume,Market Cap
"Dec 28, 2017",1188.51,1188.67,1063.81,1160.57,"190,296,000","9,245,510,000"
"Dec 27, 2017",1227.95,1255.25,1163.47,1189.89,"211,339,000","9,549,870,000"
"Dec 26, 2017",1173.71,1227.72,1169.34,1222.83,"231,985,000","9,125,790,000"
"Dec 25, 2017",1190.53,1235.22,1162.45,1175.89,"195,124,000","9,254,180,000"
"Dec 24, 2017",1286.73,1286.73,1090.21,1184.69,"230,643,000","9,999,390,000"
"Dec 23, 2017",1198.74,1362.96,1160.04,1275.50,"327,129,000","9,313,260,000"
"Dec 22, 2017",1441.90,1452.45,864.37,1179.01,"510,588,000","11,199,600,000"
"Dec 21, 2017",1555.59,1622.26,1371.39,1434.82,"476,900,000","12,079,600,000"
"Dec 20, 2017",1184.92,1642.22,1167.30,1550.85,"816,872,000","9,198,860,000"
"Dec 19, 2017",1165.03,1254.28,1126.85,1186.63,"302,869,000","9,042,190,000"
"Dec 18, 2017",1110.16,1195.74,1044.76,1167.12,"278,638,000","8,614,190,000"
"Dec 17, 2017",1014.51,1178.18,1014.51,1105.92,"460,594,000","7,869,960,000"
"Dec 16, 2017",901.22,1001.51,897.29,1001.51,"195,788,000","6,989,350,000"
"Dec 15, 2017",943.32,947.28,850.63,900.52,"191,527,000","7,313,960,000"
"Dec 14, 2017",884.21,968.47,866.63,941.11,"259,303,000","6,853,970,000"
"Dec 13, 2017",925.02,931.21,810.96,886.88,"268,426,000","7,168,440,000"
"Dec 12, 2017",765.96,948.65,746.94,932.03,"370,539,000","5,934,340,000"
"Dec 11, 2017",688.55,768.93,688.15,765.40,"184,131,000","5,333,190,000"
"Dec 10, 2017",723.23,723.83,645.16,688.67,"190,183,000","5,600,430,000"
"Dec 09, 2017",727.64,774.65,707.32,723.61,"211,738,000","5,633,100,000"
"Dec 08, 2017",700.68,766.04,659.86,726.67,"288,291,000","5,423,040,000"
"Dec 07, 2017",699.99,714.51,667.83,697.90,"249,305,000","5,416,260,000"
"Dec 06, 2017",756.01,785.18,692.02,700.07,"249,073,000","5,848,270,000"
"Dec 05, 2017",774.71,779.98,754.27,756.36,"201,103,000","5,991,370,000"
"Dec 04, 2017",770.57,778.05,738.59,774.01,"152,281,000","5,957,860,000"
"Dec 03, 2017",778.78,806.70,744.39,768.88,"192,447,000","6,015,560,000"
"Dec 02, 2017",797.90,802.12,769.39,778.43,"188,147,000","6,161,690,000"
